"Date","Habitat","Transect","Quadrat","Site","photo_id","Acanthastrea","Acropora","Astrea","Astreopora","Crustose Coralline Algae / Bare Space","Cyphastrea","Fungiidae unidentified","Gardineroseris","Goniastrea","Herpolitha","Leptastrea","Leptoseris","Lobophyllia","Macroalgae","Millepora","Montipora","Non-coralline Crustose Algae","Pachyseris","Pavona","Plesiastrea","Pocillopora","Porites irregularis","Porites rus","Porites spp. Massive","Psammocora","Sand","Sandolitha","Soft Coral","Stylocoeniella","Tubastrea","Turf","Unknown or Other"
2024-04-03,"10m",1,1,"LTER_2","_LTR0614.jpg",0,0,0,0,2.646,0,0,0,0,0,0,0,0,15.873,0,0,1.058,0,0,0,0,0,0,0,0,0,0,0,0,0,80.423,0
2024-04-03,"10m",1,2,"LTER_2","_LTR0615.jpg",0,0,0,0,2.674,0,0,0,0,0,0,0,0,14.973,0,0,1.604,0,0,0,0,0,0,0,0,0,0,0,0,0,79.144,1.604
2024-04-03,"10m",1,3,"LTER_2","_LTR0616.jpg",0,0,0.515,0,7.732,0,0,0,0,0,0,0,0,8.247,0,0,2.062,0,0,0,0.515,0,0,0,0,0,0,0,0,0,80.928,0
2024-04-03,"10m",1,4,"LTER_2","_LTR0617.jpg",0,0,0,0,1.546,0,0,0,0,0,0,0,0,13.402,0,0,1.031,0,0,0,0.515,0,0,0,0,0,0,0,0,0,83.505,0
2024-04-03,"10m",1,5,"LTER_2","_LTR0618.jpg",0,0,0,0,2.128,0,0,0,0,0,0,0,0,15.426,3.723,0,1.064,0,0,0,0,0,0,0,0,0,0,0,0,0,77.66,0
2024-04-03,"10m",1,6,"LTER_2","_LTR0619.jpg",0,0,0,0,7.487,0,0,0,0,0,0,0,0,14.439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.075,0
2024-04-03,"10m",1,7,"LTER_2","_LTR0620.jpg",0,0,0,0,4.124,0,0,0,0,0,0,0,0,19.072,0,0,4.124,0,0,0,0.515,0,0,0,0,0,0,0,0,0,72.165,0
2024-04-03,"10m",1,8,"LTER_2","_LTR0621.jpg",0,0,0,0,5.67,0,0,0,0,0,0,0,0,14.948,0,0,2.062,0,0,0,0,0,0,0,0,0,0,0,0,0,77.32,0
2024-04-03,"10m",2,1,"LTER_2","_LTR0623.jpg",0,0,0,0,1.047,0,0,0,0,0,0,0,0,12.042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.911,0
2024-04-03,"10m",2,2,"LTER_2","_LTR0624.jpg",0,0,0,0,0.526,0,0,0,0,0,0,0,0,8.947,0,0,0,0,0,0,0,0,0,0,0,1.579,0,0,0,0,88.947,0
2024-04-03,"10m",2,3,"LTER_2","_LTR0625.jpg",0,0,0,0,0.532,0,0,0,0,0,0,0,0,12.234,0,0,0.532,0,0,0,0,0,0,0,0,0,0,0,0,0,86.702,0
2024-04-03,"10m",2,4,"LTER_2","_LTR0626.jpg",0,0,0,0,8.205,0,0,0,0,0,0,0,0,23.59,0.513,0,3.59,0,0,0,0,0,0,0,0,0,0,0,0,0,64.103,0
2024-04-03,"10m",2,5,"LTER_2","_LTR0627.jpg",0,0,0,0,7.254,0,0,0,0,0,0,0,0,20.725,1.554,0,1.554,0,0,0,0,0,0,0,0,0,0,0,0,0,68.912,0
