"observableidentifier","nominal_year","analysis_by","location","taxonomy","photo_id","percent_cover","dive_date"
"MCR LTER: Coral Reef: Population Dynamics: Scleractinian corals","2023","K. Scafidi","LTER 2 Outer 10 m Coral Transect Pole 1-2 Quadrat 5","Acanthastrea","_L236173.JPG",0,2023-04-09
"MCR LTER: Coral Reef: Population Dynamics: Scleractinian corals","2023","K. Scafidi","LTER 2 Outer 10 m Coral Transect Pole 1-2 Quadrat 6","Acanthastrea","_L236174.JPG",0,2023-04-09
"MCR LTER: Coral Reef: Population Dynamics: Scleractinian corals","2023","K. Scafidi","LTER 2 Outer 10 m Coral Transect Pole 1-2 Quadrat 7","Acanthastrea","_L236175.JPG",0,2023-04-09
"MCR LTER: Coral Reef: Population Dynamics: Scleractinian corals","2023","K. Scafidi","LTER 2 Outer 10 m Coral Transect Pole 1-2 Quadrat 8","Acanthastrea","_L236176.JPG",0,2023-04-09
"MCR LTER: Coral Reef: Population Dynamics: Scleractinian corals","2023","K. Scafidi","LTER 2 Outer 10 m Coral Transect Pole 2-3 Quadrat 1","Acanthastrea","_L236178.JPG",0,2023-04-09
"MCR LTER: Coral Reef: Population Dynamics: Scleractinian corals","2023","K. Scafidi","LTER 2 Outer 10 m Coral Transect Pole 2-3 Quadrat 2","Acanthastrea","_L236179.JPG",0,2023-04-09
"MCR LTER: Coral Reef: Population Dynamics: Scleractinian corals","2023","K. Scafidi","LTER 2 Outer 10 m Coral Transect Pole 2-3 Quadrat 3","Acanthastrea","_L236180.JPG",0,2023-04-09
"MCR LTER: Coral Reef: Population Dynamics: Scleractinian corals","2023","K. Scafidi","LTER 2 Outer 10 m Coral Transect Pole 2-3 Quadrat 4","Acanthastrea","_L236181.JPG",0,2023-04-09
"MCR LTER: Coral Reef: Population Dynamics: Scleractinian corals","2023","K. Scafidi","LTER 2 Outer 10 m Coral Transect Pole 2-3 Quadrat 5","Acanthastrea","_L236182.JPG",0,2023-04-09
"MCR LTER: Coral Reef: Population Dynamics: Scleractinian corals","2023","K. Scafidi","LTER 2 Outer 10 m Coral Transect Pole 2-3 Quadrat 6","Acanthastrea","_L236183.JPG",0,2023-04-09
"MCR LTER: Coral Reef: Population Dynamics: Scleractinian corals","2023","K. Scafidi","LTER 2 Outer 10 m Coral Transect Pole 2-3 Quadrat 7","Acanthastrea","_L236184.JPG",0,2023-04-09
"MCR LTER: Coral Reef: Population Dynamics: Scleractinian corals","2023","K. Scafidi","LTER 2 Outer 10 m Coral Transect Pole 2-3 Quadrat 8","Acanthastrea","_L236185.JPG",0,2023-04-09
"MCR LTER: Coral Reef: Population Dynamics: Scleractinian corals","2023","K. Scafidi","LTER 2 Outer 10 m Coral Transect Pole 3-4 Quadrat 1","Acanthastrea","_L236187.JPG",0,2023-04-09
"MCR LTER: Coral Reef: Population Dynamics: Scleractinian corals","2023","K. Scafidi","LTER 2 Outer 10 m Coral Transect Pole 3-4 Quadrat 2","Acanthastrea","_L236188.JPG",0,2023-04-09
"MCR LTER: Coral Reef: Population Dynamics: Scleractinian corals","2023","K. Scafidi","LTER 2 Outer 10 m Coral Transect Pole 3-4 Quadrat 3","Acanthastrea","_L236189.JPG",0,2023-04-09
"MCR LTER: Coral Reef: Population Dynamics: Scleractinian corals","2023","K. Scafidi","LTER 2 Outer 10 m Coral Transect Pole 3-4 Quadrat 4","Acanthastrea","_L236190.JPG",0,2023-04-09
"MCR LTER: Coral Reef: Population Dynamics: Scleractinian corals","2023","K. Scafidi","LTER 2 Outer 10 m Coral Transect Pole 3-4 Quadrat 5","Acanthastrea","_L236191.JPG",0,2023-04-09
"MCR LTER: Coral Reef: Population Dynamics: Scleractinian corals","2023","K. Scafidi","LTER 2 Outer 10 m Coral Transect Pole 3-4 Quadrat 6","Acanthastrea","_L236192.JPG",0,2023-04-09
"MCR LTER: Coral Reef: Population Dynamics: Scleractinian corals","2023","K. Scafidi","LTER 2 Outer 10 m Coral Transect Pole 3-4 Quadrat 7","Acanthastrea","_L236193.JPG",0,2023-04-09
"MCR LTER: Coral Reef: Population Dynamics: Scleractinian corals","2023","K. Scafidi","LTER 2 Outer 10 m Coral Transect Pole 3-4 Quadrat 8","Acanthastrea","_L236194.JPG",0,2023-04-09
"MCR LTER: Coral Reef: Population Dynamics: Scleractinian corals","2023","K. Scafidi","LTER 2 Outer 10 m Coral Transect Pole 4-5 Quadrat 1","Acanthastrea","_L236196.JPG",0,2023-04-09
"MCR LTER: Coral Reef: Population Dynamics: Scleractinian corals","2023","K. Scafidi","LTER 2 Outer 10 m Coral Transect Pole 4-5 Quadrat 2","Acanthastrea","_L236197.JPG",0,2023-04-09
"MCR LTER: Coral Reef: Population Dynamics: Scleractinian corals","2023","K. Scafidi","LTER 2 Outer 10 m Coral Transect Pole 4-5 Quadrat 3","Acanthastrea","_L236198.JPG",0,2023-04-09
"MCR LTER: Coral Reef: Population Dynamics: Scleractinian corals","2023","K. Scafidi","LTER 2 Outer 10 m Coral Transect Pole 4-5 Quadrat 4","Acanthastrea","_L236199.JPG",0,2023-04-09
"MCR LTER: Coral Reef: Population Dynamics: Scleractinian corals","2023","K. Scafidi","LTER 2 Outer 10 m Coral Transect Pole 4-5 Quadrat 5","Acanthastrea","_L236200.JPG",0,2023-04-09
"MCR LTER: Coral Reef: Population Dynamics: Scleractinian corals","2023","K. Scafidi","LTER 2 Outer 10 m Coral Transect Pole 4-5 Quadrat 6","Acanthastrea","_L236201.JPG",0,2023-04-09
"MCR LTER: Coral Reef: Population Dynamics: Scleractinian corals","2023","K. Scafidi","LTER 2 Outer 10 m Coral Transect Pole 4-5 Quadrat 7","Acanthastrea","_L236202.JPG",0,2023-04-09
